test AUC (pungent),Number of parameters,edge dim,node dim,globals dim,learn edges,learn globals,learn nodes,aggregation type,n layers,n learn,Message passing
0.7675466537475586,64266,20,25,100,True,True,False,sum,4,2,edges & globals
0.7053084373474121,8366,5,25,25,False,False,True,max,4,1,nodes
0.7053084373474121,8366,5,25,25,False,False,True,mean,4,1,nodes
0.7053084373474121,8366,5,25,25,False,False,True,sum,4,1,nodes
0.7477761507034302,9256,10,25,25,False,False,True,max,4,1,nodes
0.7477761507034302,9256,10,25,25,False,False,True,mean,4,1,nodes
0.7477761507034302,9256,10,25,25,False,False,True,sum,4,1,nodes
0.7346628308296204,11636,20,25,25,False,False,True,max,4,1,nodes
0.7346628308296204,11636,20,25,25,False,False,True,mean,4,1,nodes
0.7346628308296204,11636,20,25,25,False,False,True,sum,4,1,nodes
0.7118220925331116,14341,5,25,50,False,False,True,max,4,1,nodes
0.7118220925331116,14341,5,25,50,False,False,True,mean,4,1,nodes
0.7118220925331116,14341,5,25,50,False,False,True,sum,4,1,nodes
0.7397704124450684,15231,10,25,50,False,False,True,max,4,1,nodes
0.7397704124450684,15231,10,25,50,False,False,True,mean,4,1,nodes
0.7397704124450684,15231,10,25,50,False,False,True,sum,4,1,nodes
0.7147488594055176,17611,20,25,50,False,False,True,max,4,1,nodes
0.7147488594055176,17611,20,25,50,False,False,True,mean,4,1,nodes
0.7147488594055176,17611,20,25,50,False,False,True,sum,4,1,nodes
0.6972740292549133,37541,5,25,100,False,False,True,max,4,1,nodes
0.6972740292549133,37541,5,25,100,False,False,True,mean,4,1,nodes
0.6972740292549133,37541,5,25,100,False,False,True,sum,4,1,nodes
0.7388235330581665,38431,10,25,100,False,False,True,max,4,1,nodes
0.7388235330581665,38431,10,25,100,False,False,True,mean,4,1,nodes
0.7388235330581665,38431,10,25,100,False,False,True,sum,4,1,nodes
0.6941750049591064,40811,20,25,100,False,False,True,max,4,1,nodes
0.6941750049591064,40811,20,25,100,False,False,True,mean,4,1,nodes
0.6941750049591064,40811,20,25,100,False,False,True,sum,4,1,nodes
